release_item,release_label,source,auction_id,sale_date,price_jpy,condition_evidence,identity_evidence,status,exclusion_reason,source_url
18001,Hotshot Jr. — 1986 Original,Yahoo Auctions,,2026-05-06,4800,"unbuilt","当時物; Racing Mini 4WD No.1 Hotshot Jr.","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%E3%83%9B%E3%83%83%E3%83%88%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88/0"
18001,Hotshot Jr. — 1986 Original,Yahoo Auctions,,2026-05-04,10000,"collector-owned; surfaced condition not fully explicit","1986; 初代; 小鹿; rare gray wheels","include_candidate","strong period-specific original identity; condition/completeness still deserves listing-level confirmation","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%E3%83%9B%E3%83%83%E3%83%88%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88/0"
18001,Hotshot Jr. — 1986 Original,Yahoo Auctions,,2026-03-30,3080,"unbuilt","18001; 当時物","quarantine_shared_item","18001 is reused by the 1998 limited reissue; surfaced title lacks enough first-batch evidence","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%E3%83%9B%E3%83%83%E3%83%88%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88/0"
18002,Hornet Jr. — 1998 Limited Reissue,Yahoo Auctions,,2026-03-30,3410,"unbuilt","1998; TAMIYA 18002; Hornet Jr.","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%83%9B%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88jr/25464"
18002,Hornet Jr. — 1998 Limited Reissue,Yahoo Auctions,,2026-01-18,5500,"unbuilt","1998; 限定復刻; 18002","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%83%9B%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88jr/25464"
18002,Hornet Jr. — occurrence unresolved,Yahoo Auctions,,2026-01-25,11250,"unbuilt","Hornet Jr.; Racing Mini 4WD No.2","quarantine_shared_item","could be 1986 original or 1998 reissue; title does not disambiguate occurrence","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%83%9B%E3%83%BC%E3%83%8D%E3%83%83%E3%83%88jr/25464"
18004,Boomerang Jr. — 1986 Original,Yahoo Auctions,,2026-05-11,6266,"built; mixed/junk lot","Boomerang Jr.; Type 1; 当時物","exclude_built","built and mixed with other items; not a clean kit comp","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%82%BF%E3%82%A4%E3%83%971/0"
18004,Boomerang Jr. — 1986 Original,Yahoo Auctions,,2026-05-25,660,"body only","18004; green plated Boomerang Jr. body","exclude_parts","body-only part; not an exact complete Release comp","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86%20%E3%83%A1%E3%83%83%E3%82%AD%E3%83%9C%E3%83%87%E3%82%A3/0/"
18007,Super Dragon Jr. — 1998 Memorial Reissue,Yahoo Auctions,,2026-05-03,6000,"unused; unbuilt","limited reprint; Super Dragon Jr. No.7","include_candidate","listing wording identifies limited reissue; exact 1998 package should still be visually confirmed","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%20%E3%82%BF%E3%83%9F%E3%83%A4/0/"
18007,Super Dragon Jr. — 1998 Memorial Reissue,Yahoo Auctions,,2026-04-24,3200,"unbuilt; box wear","Memorial Edition; 限定復刻","include_candidate","","https://auctions.yahoo.co.jp/closedsearch/closedsearch/%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%20%E3%82%BF%E3%83%9F%E3%83%A4/0/"
